cpg_id,original_index,CHR,MAPINFO,chr_order,genome_rank,chromosome_label,chromosome_block,within_chromosome_rank
cg08067365,0,1,948893.0,1.0,0,1,1,1
cg21288685,1,1,1109244.0,1.0,1,1,1,2
cg13897675,3,1,1374310.0,1.0,2,1,1,3
cg19639479,4,1,1374669.0,1.0,3,1,1,4
cg03116557,5,1,1375480.0,1.0,4,1,1,5
cg22865286,6,1,1850733.0,1.0,5,1,1,6
cg00653281,7,1,1991051.0,1.0,6,1,1,7
cg11155073,8,1,2147513.0,1.0,7,1,1,8
cg08471814,10,1,2446073.0,1.0,8,1,1,9
cg12050271,11,1,2980399.0,1.0,9,1,1,10
cg24667304,12,1,3550008.0,1.0,10,1,1,11
cg18564053,13,1,6303793.0,1.0,11,1,1,12
cg11135412,14,1,6637055.0,1.0,12,1,1,13
cg26360953,15,1,6784749.0,1.0,13,1,1,14
cg14164492,17,1,9439003.0,1.0,14,1,1,15
cg04162034,18,1,9710821.0,1.0,15,1,1,16
cg13457410,19,1,9762510.0,1.0,16,1,1,17
cg20413202,20,1,10056853.0,1.0,17,1,1,18
cg17944110,21,1,10856657.0,1.0,18,1,1,19
cg13686807,23,1,14343114.0,1.0,19,1,1,20
cg18219212,24,1,16162653.0,1.0,20,1,1,21
cg21601498,25,1,16678847.0,1.0,21,1,1,22
cg03772253,28,1,18884374.0,1.0,22,1,1,23
cg24517325,29,1,18884428.0,1.0,23,1,1,24
cg18560776,30,1,18884508.0,1.0,24,1,1,25
cg11806635,31,1,19181040.0,1.0,25,1,1,26
cg01961278,33,1,20986128.0,1.0,26,1,1,27
cg18438124,34,1,21996315.0,1.0,27,1,1,28
cg20335309,35,1,22899442.0,1.0,28,1,1,29
cg12717729,37,1,24071253.0,1.0,29,1,1,30
cg07291005,39,1,24126194.0,1.0,30,1,1,31
cg22857999,40,1,24127039.0,1.0,31,1,1,32
cg26352811,41,1,24306777.0,1.0,32,1,1,33
cg00117172,42,1,25255838.0,1.0,33,1,1,34
cg24991732,43,1,25594486.0,1.0,34,1,1,35
cg17739026,47,1,27114420.0,1.0,35,1,1,36
cg04354805,48,1,27152792.0,1.0,36,1,1,37
cg14887509,49,1,27816781.0,1.0,37,1,1,38
cg20227766,50,1,27998703.0,1.0,38,1,1,39
cg02772605,51,1,28912323.0,1.0,39,1,1,40
cg10312476,52,1,29780268.0,1.0,40,1,1,41
cg24996263,53,1,31297444.0,1.0,41,1,1,42
cg26876680,54,1,31409638.0,1.0,42,1,1,43
cg12206571,55,1,32052538.0,1.0,43,1,1,44
cg17945560,56,1,32052651.0,1.0,44,1,1,45
cg17339202,57,1,33160900.0,1.0,45,1,1,46
cg25745861,58,1,33369735.0,1.0,46,1,1,47
cg19165942,59,1,35222920.0,1.0,47,1,1,48
cg24940583,60,1,36020939.0,1.0,48,1,1,49
cg21679142,64,1,37723205.0,1.0,49,1,1,50
cg06626655,65,1,38099916.0,1.0,50,1,1,51
cg24088273,67,1,38592976.0,1.0,51,1,1,52
cg21848143,68,1,39269995.0,1.0,52,1,1,53
cg17514654,70,1,40368198.0,1.0,53,1,1,54
cg14498674,71,1,41707653.0,1.0,54,1,1,55
cg00367463,74,1,45249899.0,1.0,55,1,1,56
cg15896098,76,1,45966115.0,1.0,56,1,1,57
cg06687305,77,1,46088486.0,1.0,57,1,1,58
cg03335125,78,1,46088541.0,1.0,58,1,1,59
cg14220678,79,1,46089024.0,1.0,59,1,1,60
cg14407667,83,1,51985209.0,1.0,60,1,1,61
cg03947026,84,1,52832320.0,1.0,61,1,1,62
cg09128567,86,1,53387203.0,1.0,62,1,1,63
cg13168314,87,1,54051041.0,1.0,63,1,1,64
cg07173275,91,1,57890636.0,1.0,64,1,1,65
cg22525715,92,1,58190139.0,1.0,65,1,1,66
cg26254792,93,1,60280088.0,1.0,66,1,1,67
cg19368394,95,1,61843430.0,1.0,67,1,1,68
cg03705947,98,1,68152081.0,1.0,68,1,1,69
cg14178428,99,1,68849791.0,1.0,69,1,1,70
cg03220161,100,1,70671186.0,1.0,70,1,1,71
cg21906852,101,1,75198582.0,1.0,71,1,1,72
cg00121533,103,1,75199117.0,1.0,72,1,1,73
cg20707222,106,1,76540222.0,1.0,73,1,1,74
cg26363196,107,1,76540236.0,1.0,74,1,1,75
cg23243867,108,1,77334045.0,1.0,75,1,1,76
cg23441167,110,1,84971866.0,1.0,76,1,1,77
cg22618350,113,1,91487603.0,1.0,77,1,1,78
cg21584883,114,1,93645960.0,1.0,78,1,1,79
cg03142574,115,1,98386452.0,1.0,79,1,1,80
cg18194353,116,1,100315666.0,1.0,80,1,1,81
cg04365817,117,1,101491640.0,1.0,81,1,1,82
cg09183742,118,1,103572723.0,1.0,82,1,1,83
cg04574896,122,1,109247738.0,1.0,83,1,1,84
cg09152047,123,1,110282835.0,1.0,84,1,1,85
cg05622465,124,1,110613072.0,1.0,85,1,1,86
cg04892651,125,1,111006966.0,1.0,86,1,1,87
cg00321911,126,1,111669324.0,1.0,87,1,1,88
cg06125456,127,1,111750610.0,1.0,88,1,1,89
cg22957381,128,1,112532078.0,1.0,89,1,1,90
cg06802056,130,1,113933940.0,1.0,90,1,1,91
cg06644660,132,1,117317838.0,1.0,91,1,1,92
cg08846011,133,1,117318133.0,1.0,92,1,1,93
cg24635754,134,1,117318185.0,1.0,93,1,1,94
cg09313258,135,1,117318232.0,1.0,94,1,1,95
cg17868079,137,1,119502537.0,1.0,95,1,1,96
cg26022992,139,1,145507616.0,1.0,96,1,1,97
cg15978276,140,1,145575814.0,1.0,97,1,1,98
cg05959459,141,1,147752860.0,1.0,98,1,1,99
cg15642292,142,1,150253842.0,1.0,99,1,1,100
cg04546999,144,1,152956429.0,1.0,100,1,1,101
cg18163252,145,1,153748120.0,1.0,101,1,1,102
cg00006626,146,1,154127462.0,1.0,102,1,1,103
cg17167920,147,1,154127537.0,1.0,103,1,1,104
cg19263494,149,1,156181616.0,1.0,104,1,1,105
cg15070096,150,1,156470876.0,1.0,105,1,1,106
cg03892457,152,1,159157066.0,1.0,106,1,1,107
cg08901901,153,1,160951907.0,1.0,107,1,1,108
cg25844162,157,1,171454594.0,1.0,108,1,1,109
cg24688413,160,1,177898864.0,1.0,109,1,1,110
cg06871311,161,1,178062849.0,1.0,110,1,1,111
cg22860181,164,1,182922502.0,1.0,111,1,1,112
cg08913815,166,1,193028592.0,1.0,112,1,1,113
cg00891176,168,1,201082731.0,1.0,113,1,1,114
cg16993579,170,1,202311052.0,1.0,114,1,1,115
cg00805880,171,1,203045044.0,1.0,115,1,1,116
cg23371584,172,1,203275927.0,1.0,116,1,1,117
cg24602552,173,1,204654410.0,1.0,117,1,1,118
cg24441577,174,1,209738176.0,1.0,118,1,1,119
cg10382148,176,1,209954182.0,1.0,119,1,1,120
cg21604539,177,1,209957750.0,1.0,120,1,1,121
cg05062446,179,1,219347252.0,1.0,121,1,1,122
cg26332740,182,1,228196227.0,1.0,122,1,1,123
cg01195848,183,1,228466165.0,1.0,123,1,1,124
cg01328548,186,1,231297737.0,1.0,124,1,1,125
cg04096525,187,1,231356725.0,1.0,125,1,1,126
cg04158884,189,1,233086346.0,1.0,126,1,1,127
cg15203632,190,1,233763901.0,1.0,127,1,1,128
cg21930061,191,1,235321377.0,1.0,128,1,1,129
cg05046722,194,1,240855271.0,1.0,129,1,1,130
cg10335826,195,1,240989308.0,1.0,130,1,1,131
cg08109624,196,1,242220925.0,1.0,131,1,1,132
cg21382878,197,1,245847603.0,1.0,132,1,1,133
cg04617936,199,2,214353.0,2.0,133,2,2,1
cg03468349,200,2,264164.0,2.0,134,2,2,2
cg10902693,202,2,875509.0,2.0,135,2,2,3
cg03326215,203,2,2328391.0,2.0,136,2,2,4
cg20292653,205,2,5847374.0,2.0,137,2,2,5
cg11044724,206,2,7005733.0,2.0,138,2,2,6
cg21952484,207,2,8977389.0,2.0,139,2,2,7
cg15424233,208,2,9865477.0,2.0,140,2,2,8
cg06193988,210,2,10442521.0,2.0,141,2,2,9
cg02680566,212,2,19559792.0,2.0,142,2,2,10
cg24703400,214,2,21880071.0,2.0,143,2,2,11
cg10077706,215,2,23609231.0,2.0,144,2,2,12
cg03480346,217,2,24232603.0,2.0,145,2,2,13
cg19489797,220,2,25475140.0,2.0,146,2,2,14
cg00912598,221,2,25475287.0,2.0,147,2,2,15
